"site_id";"bio01_LGM";"bio01_current";"bio01_little_ice_age";"bio01_medieval_warm";"bio01_mid_Holocene";"bio01_other";"bio03_LGM";"bio03_current";"bio03_little_ice_age";"bio03_medieval_warm";"bio03_mid_Holocene";"bio03_other";"bio12_LGM";"bio12_current";"bio12_little_ice_age";"bio12_medieval_warm";"bio12_mid_Holocene";"bio12_other"
"32";"116-b";284.545454545455;289.1;288.22;288.175;287.32380952381;286.328491620112;42.5454545454545;38.6;37.42;38.675;33.0047619047619;36.8782122905028;863;461;467.6;487.5;608.333333333333;618.095505617978
"33";"116-c";284.545454545455;289.1;288.22;288.175;287.32380952381;286.328491620112;42.5454545454545;38.6;37.42;38.675;33.0047619047619;36.8782122905028;863;461;467.6;487.5;608.333333333333;618.095505617978
"34";"118-a";285.536363636364;290.1;289.22;289.15;288.242857142857;287.272067039106;42.7181818181818;38.3;37.06;38.525;33.8333333333333;37.4480446927374;623.181818181818;394;388.6;411.5;502.285714285714;475.955056179775
"35";"118-b";285.536363636364;290.1;289.22;289.15;288.242857142857;287.272067039106;42.7181818181818;38.3;37.06;38.525;33.8333333333333;37.4480446927374;623.181818181818;394;388.6;411.5;502.285714285714;475.955056179775
"36";"118-c";285.536363636364;290.1;289.22;289.15;288.242857142857;287.272067039106;42.7181818181818;38.3;37.06;38.525;33.8333333333333;37.4480446927374;623.181818181818;394;388.6;411.5;502.285714285714;475.955056179775
"37";"119-a";286.818181818182;291.4;290.5;290.425;289.514285714286;288.522905027933;42.4454545454545;37.7;36.46;37.85;33.4571428571429;37.063687150838;546.454545454545;335;333.4;349.5;430.142857142857;414.859550561798
"38";"119-b";286.818181818182;291.4;290.5;290.425;289.514285714286;288.522905027933;42.4454545454545;37.7;36.46;37.85;33.4571428571429;37.063687150838;546.454545454545;335;333.4;349.5;430.142857142857;414.859550561798
"39";"119-c";286.818181818182;291.4;290.5;290.425;289.514285714286;288.522905027933;42.4454545454545;37.7;36.46;37.85;33.4571428571429;37.063687150838;546.454545454545;335;333.4;349.5;430.142857142857;414.859550561798
"40";"12-a";285.281818181818;288.9;288.32;288.275;288.685714285714;287.615083798883;49.7090909090909;40.1;41.14;41.225;42.4761904761905;46.540782122905;299.545454545455;277;289.2;291;248.095238095238;273.865168539326
"41";"12-b";285.281818181818;288.9;288.32;288.275;288.685714285714;287.615083798883;49.7090909090909;40.1;41.14;41.225;42.4761904761905;46.540782122905;299.545454545455;277;289.2;291;248.095238095238;273.865168539326
