"Site_ID";"MAP_Interglacial";"MAT_Interglacial";"Isothermality_Interglacial"
"1";"10-a";310.756866455078;136.4736328125;57.2383918762207
"2";"10-b";310.756866455078;136.4736328125;57.2383918762207
"3";"10-c";310.756866455078;136.4736328125;57.2383918762207
"4";"100-a";683.098693847656;198.296340942383;44.2144241333008
"5";"100-b";683.098693847656;198.296340942383;44.2144241333008
"6";"100-c";683.098693847656;198.296340942383;44.2144241333008
"7";"101-a";521.577575683594;162.063690185547;48.844856262207
"8";"101-b";521.577575683594;162.063690185547;48.844856262207
"9";"101-c";521.577575683594;162.063690185547;48.844856262207
"10";"104-a";543.055541992188;155.635406494141;47.6623344421387
"11";"104-b";543.055541992188;155.635406494141;47.6623344421387
"12";"104-c";543.055541992188;155.635406494141;47.6623344421387
"13";"11-a";275.802703857422;133.012847900391;59
"14";"11-b";275.802703857422;133.012847900391;59
"15";"11-c";275.802703857422;133.012847900391;59
"16";"110-a";803.593078613281;148.88151550293;49.0016021728516
"17";"110-b";803.593078613281;148.88151550293;49.0016021728516
"18";"110-c";803.593078613281;148.88151550293;49.0016021728516
"19";"112-a";386.984375;138.309616088867;33.1056480407715
"20";"112-b";386.984375;138.309616088867;33.1056480407715
"21";"112-c";386.984375;138.309616088867;33.1056480407715
"22";"113-a";426.733612060547;135.764129638672;32.9903755187988
"23";"113-b";426.733612060547;135.764129638672;32.9903755187988
"24";"113-c";426.733612060547;135.764129638672;32.9903755187988
"25";"114-a";345.760833740234;155.238296508789;31.926420211792
"26";"114-b";345.760833740234;155.238296508789;31.926420211792
"27";"114-c";345.760833740234;155.238296508789;31.926420211792
"28";"115-a";503.634033203125;146.377868652344;31.7937831878662
"29";"115-b";503.634033203125;146.377868652344;31.7937831878662
"30";"115-c";503.634033203125;146.377868652344;31.7937831878662
"31";"116-a";494.644927978516;142.81396484375;31.9791622161865
"32";"116-b";494.644927978516;142.81396484375;31.9791622161865
"33";"116-c";494.644927978516;142.81396484375;31.9791622161865
"34";"118-a";400.738616943359;136.828002929688;32
"35";"118-b";400.738616943359;136.828002929688;32
"36";"118-c";400.738616943359;136.828002929688;32
"37";"119-a";379.152099609375;154.725601196289;31.4974536895752
"38";"119-b";379.152099609375;154.725601196289;31.4974536895752
"39";"119-c";379.152099609375;154.725601196289;31.4974536895752
"40";"12-a";202.465789794922;130.521530151367;57.9616012573242
"41";"12-b";202.465789794922;130.521530151367;57.9616012573242
"42";"12-c";202.465789794922;130.521530151367;57.9616012573242
"43";"120-a";383.451812744141;137.65168762207;30.9807891845703
"44";"120-b";383.451812744141;137.65168762207;30.9807891845703
"45";"120-c";383.451812744141;137.65168762207;30.9807891845703
"46";"121-a";429.949523925781;154.35725402832;31.8510761260986
"47";"121-b";429.949523925781;154.35725402832;31.8510761260986
"48";"121-c";429.949523925781;154.35725402832;31.8510761260986
"49";"122-a";481.667938232422;142.807006835938;31.956750869751
"50";"122-b";481.667938232422;142.807006835938;31.956750869751
"51";"122-c";481.667938232422;142.807006835938;31.956750869751
"52";"123-a";356.687469482422;54.1335525512695;74.6110992431641
"53";"123-b";356.687469482422;54.1335525512695;74.6110992431641
"54";"123-c";356.687469482422;54.1335525512695;74.6110992431641
"55";"124-a";330.430084228516;61.895938873291;74.9391784667969
"56";"124-b";330.430084228516;61.895938873291;74.9391784667969
"57";"124-c";330.430084228516;61.895938873291;74.9391784667969
"58";"125-a";338.336334228516;49.6265258789062;74.9359283447266
"59";"125-b";338.336334228516;49.6265258789062;74.9359283447266
"60";"125-c";338.336334228516;49.6265258789062;74.9359283447266
"61";"126-a";373.938201904297;36.5727195739746;74.3615646362305
"62";"126-b";373.938201904297;36.5727195739746;74.3615646362305
"63";"126-c";373.938201904297;36.5727195739746;74.3615646362305
"64";"128-a";376.88720703125;32.8317832946777;74.6848068237305
"65";"128-b";376.88720703125;32.8317832946777;74.6848068237305
"66";"128-c";376.88720703125;32.8317832946777;74.6848068237305
"67";"129-a";389.690063476562;50.8097877502441;74.0815658569336
"68";"129-b";389.690063476562;50.8097877502441;74.0815658569336
"69";"129-c";389.690063476562;50.8097877502441;74.0815658569336
"70";"13-a";210.25749206543;170.985549926758;52.7552909851074
"71";"13-b";210.25749206543;170.985549926758;52.7552909851074
"72";"13-c";210.25749206543;170.985549926758;52.7552909851074
"73";"130-a";432.786651611328;7.95721960067749;74.4833297729492
"74";"130-b";432.786651611328;7.95721960067749;74.4833297729492
"75";"130-c";432.786651611328;7.95721960067749;74.4833297729492
"76";"132-a";494.484375;11.386625289917;73.0621490478516
"77";"132-b";494.484375;11.386625289917;73.0621490478516
"78";"132-c";494.484375;11.386625289917;73.0621490478516
"79";"133-a";458.374298095703;11.6667594909668;73.9199676513672
"80";"133-b";458.374298095703;11.6667594909668;73.9199676513672
"81";"133-c";458.374298095703;11.6667594909668;73.9199676513672
"82";"134-a";500.052459716797;128.762191772461;29
"83";"134-b";500.052459716797;128.762191772461;29
"84";"134-c";500.052459716797;128.762191772461;29
"85";"135-a";500.052459716797;128.762191772461;29
"86";"135-b";500.052459716797;128.762191772461;29
"87";"135-c";500.052459716797;128.762191772461;29
"88";"136-a";520.510498046875;130.497680664062;26.9536380767822
"89";"136-b";520.510498046875;130.497680664062;26.9536380767822
"90";"136-c";520.510498046875;130.497680664062;26.9536380767822
"91";"137-a";520.510498046875;130.497680664062;26.9536380767822
"92";"137-b";520.510498046875;130.497680664062;26.9536380767822
"93";"137-c";520.510498046875;130.497680664062;26.9536380767822
"94";"138-a";523.550537109375;125.219718933105;27
"95";"138-b";523.550537109375;125.219718933105;27
"96";"138-c";523.550537109375;125.219718933105;27
