"rho_p";"nb_neigh";"clustering";"skewness";"variance";"moran_I";"Spectral_ratio";"PLR";"PL_expo";"cv_psd";"fmax_psd";"cutoff";"slope_tpl";"flow_length";"perim_area_scaling";"mean_perim_area";"mean_psd";"median_psd";"Small_patches";"Small_patches_fraction";"sd_psd";"KS_dist";"core_area";"core_area_land";"division";"fractal_dim";"contig";"Shape_metric";"Cond_H";"Shannon_H";"Joint_H";"mutual_inf";"relat_mutual_inf";"Name_plot";"ID";"Latitude";"Longitude";"Type";"MAT_Holocene";"MAT_LGM";"MAT_range_diurn_Holocene";"MAT_range_diurn_LGM";"Isothermality_Holocene";"Isothermality_LGM";"MAT_Seasonality_Holocene";"MAT_Seasonality_LGM";"MaxMAT_Holocene";"MaxMAT_LGM";"MinMAT_Holocene";"MinMAT_LGM";"MAT_range_Holocene";"MAT_range_LGM";"MATwet_Holocene";"MATwet_LGM";"MATdry_Holocene";"MATdry_LGM";"MATwarm_Holocene";"MATwarm_LGM";"MATcol_Holocene";"MATcol_LGM";"MAP_Holocene";"MAP_LGM";"MAPwet_Holocene";"MAPwet_LGM";"MAPdry_Holocene";"MAPdry_LGM";"MAP_Seasonality_Holocene";"MAP_Seasonality_LGM";"MAPwetQ_Holocene";"MAPwetQ_LGM";"MAPdryQ_Holocene";"MAPdryQ_LGM";"MAPwarmQ_Holocene";"MAPwarmQ_LGM";"MAPcoldQ_Holocene";"MAPcoldQ_LGM";"MAT_Current";"MAT_range_diurn_Current";"Isothermality_Current";"MAT_Seasonality_Current";"MaxMAT_Current";"MinMAT_Current";"MAT_range_Current";"MATwet_Current";"MATdry_Current";"MATwarm_Current";"MATcol_Current";"MAP_Current";"MAPwet_Current";"MAPdry_Current";"MAP_Seasonality_Current";"MAPwetQ_Current";"MAPdryQ_Current";"MAPwarmQ_Current";"MAPcoldQ_Current";"Biome_LGM";"Biome_Current"
"42";0.287894533311668;2.72311138724328;2.24693618862448;0.77254398785369;0.056647905481748;0.0787918880678065;3.43709755604547;0.439606120673368;0.212584978404724;1.36864218386629;-6.95909281080179;0.0621199501043398;0.212584978404724;0.281763691680028;1.32171405889543;1667.08466071839;1.88472789089467e-05;1.13240023553925e-05;1538;0.0917277986521143;2.7841745985194e-05;NA;14.8213831178009;7.77367597248016;0.999982753395289;0.958377049985218;0.486159306636442;1.27534994202309;0.654239636573982;0.865538095743257;1.51977773231724;0.211298459169275;0.24412381177495;"Binary_00";"00";11.58;27.94;"Spots";-2.2197987946913;-4.13452323913574;-0.129618831939698;2.0749411680603;-1.92234594760472;3.48547627461752;4.49474234537774;11.7459556787111;-2.00715004136827;-3.30070559692383;-2.43781360363431;-4.99803582585653;0.430663962809248;1.69733062947591;-2.05162838565403;-3.00765949676514;-2.56023466586643;-4.56225244364421;-2.18946338578966;-4.22091227467855;-2.70169320522733;-4.73363542744955;322.015555555555;-38.0284000000002;98.8113777777776;1.57853333333327;0;0;1.31876437581379;2.20543104248051;264.586444444444;-17.1997333333335;0;0;108.552488888889;49.5812;0;0;28.3205232391357;14.4098988319397;58.6962570587158;239.911204321289;40.0007055969238;15.4507024925232;24.5500027038574;27.9041794967651;25.7959057769775;31.3735789413452;25.3874620941162;449.1548;123.6148;0;125.95456895752;328.3548;0;29.6052000000001;0;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
"41";0.394123300595429;3.1625858536788;2.08248147406128;0.382827506849391;0.101857888185806;0.294436217449784;4.79362442525122;0.464651127946936;NA;6.4610534144803;-3.70764081549898;NA;NA;0.258577816145249;1.38786976805102;1821.64642670095;7.32566911667636e-05;1.13240023553925e-05;1335;0.199045773072909;0.000601459127446789;NA;17.0466316587114;18.3436255932519;0.998027460889462;0.929274772430174;0.450697019432915;1.50583524692416;0.638441217157971;0.967195434265206;1.60563665142318;0.328754217107235;0.339904641254841;"Binary_01";"01";11.12;28.37;"Labyrinths";-2.26148683451335;-4.03968683451334;-0.45979394987318;1.69640160568237;-2.94432720421688;2.94456168467195;3.41650819213842;6.09038819213865;-2.26999371578638;-3.75204260467527;-2.45101062469486;-5.03834395802819;0.215185797797353;1.28630135335291;-1.95205807093302;-3.04484473759967;-2.61652760833749;-4.28618094167074;-2.43381842931112;-4.32633842931112;-2.81097205278184;-4.7273676083374;331.529022222224;-47.5852000000002;91.1200000000007;-7.87186666666685;0;0;0.840791703287763;1.63519170328779;262.354222222223;-22.3304000000001;0;0;74.9967555555559;60.4918666666669;0;0;28.2605001678467;14.4290783943176;60.7221049819947;212.263371807861;40.0376026046753;16.2750106246948;23.7625919799804;27.3970714042663;26.0638876083374;31.2804850959778;26.0638876083374;550.851200000002;146.000000000001;0;119.502674963379;383.851200000001;0;45.0000000000005;0;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
"40";0.579479529047437;3.28738524001726;1.73571743093988;-0.22213924919328;0.0886117121674021;0.486589006887069;6.10360528618014;0.601497285184041;1.41228568789804;33.4913155583735;-1.45079936783453;1.49011611938477e-08;1.41228568789804;0.100965746115245;1.44377049135122;2068.7420506099;0.00016282088481243;7.54087152365823e-06;1340;0.242797608262366;0.0062656902114879;NA;11.2178499636031;30.196665929337;0.860222575556249;0.933463845341807;0.380536848025511;1.5149956572267;0.729193704808015;0.981664220377589;1.7108579251856;0.252470515569574;0.257186225522678;"Binary_02";"02";10.96;28.2;"Gaps";-2.22464533649021;-3.99195644760132;-0.299634860229494;1.86523180643717;-2.50070879957412;3.66151342264811;4.89695984768332;2.73504873657225;-2.27630666334364;-3.68435110778808;-2.55331898201837;-5.06623009312947;0.275212318674729;1.38187898534139;-1.73146190940009;-2.88701746495564;-2.676458862559;-4.31319219589234;-2.46715688230727;-4.37046799341838;-2.99703664033678;-4.782458862559;320.403111111111;-49.3673333333335;86.1686666666667;-8.29600000000002;0;0;0.994873265584317;1.82287326558432;254.825333333333;-22.3220000000001;0;0;69.4766666666663;58.8473333333334;0;0;28.4919564476013;14.2014348602295;60.0051532440186;212.240951263428;40.2981511077881;16.6310967597961;23.6670543479919;27.4536841316223;26.4851921958923;31.6038013267517;26.4851921958923;552.522000000001;145.082;0;119.292460067749;383.302;0;45.6220000000001;0;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
"39";0.451705745138651;3.22008536307129;1.96413218695247;0.11192345342935;0.112116469799079;0.531147909579809;5.96318345543181;0.620170284086133;1.45232074996291;32.005495791697;-1.68215391950149;1.49011611938477e-08;1.45232074996291;0.285027683565102;1.4076363048773;2145.38126386145;0.000102404385658275;5.02724768243882e-06;1512;0.257976454529944;0.00335984051274752;NA;9.50634470047464;21.9098765307969;0.950171333675122;0.945127905354249;0.357831970135907;1.41068558377418;0.669377442701071;0.99327515338583;1.6626525960869;0.323897710684758;0.326090620087164;"Binary_03";"03";13.12;2.59;"Labyrinths";-1.96303113338894;-3.95380002227783;-0.0821245657517764;1.46589321202599;-3.87005992499452;2.59438451944986;18.1471183919271;-8.60444160807322;-1.25180655446368;-3.63155322113036;-2.64150139456858;-4.82808361679079;1.38032595121602;1.19653039566044;-2.29700483078002;-2.94948483078003;-1.67872848639605;-3.65323070861845;-1.61418806993273;-4.22853029215495;-2.2157453581916;-4.29140758041381;640.808311111114;-95.2281333333329;223.89488888889;-37.9036000000004;0;0;7.43688253987642;-2.58391746012347;561.827511111114;-65.5646666666661;0;0;58.2036888888842;-10.2414666666669;0;0;28.9694400222778;13.3998001213073;56.1558821472168;287.129214941406;40.4255532211303;16.5637236167908;23.8618296043395;28.04876483078;25.8185107086182;32.6235036254883;25.5939675804138;532.898400000001;172.520000000001;0;135.355250793457;405.3708;0;113.7784;0;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
"38";0.448220829066321;3.44739963016463;2.04008946244891;0.183234176632281;0.151761881692965;0.71125506819082;6.33751255399319;0.76458673846986;1.52128221163226;42.88455281081;-1.30794762612215;1.49011611938477e-08;1.52128221163226;0.501876306711793;1.36546789044538;2294.34582669337;0.000115689493371482;5.03288993573e-06;1524;0.308626974483597;0.00458834747116471;NA;7.9129057653253;28.5757424770878;0.918494407787188;0.956315704600276;0.317700220963944;1.31149564342801;0.537571009024633;0.992108116473124;1.52967912549776;0.454537107448492;0.458152795951655;"Binary_04";"04";13.17;1.58;"Labyrinths";-1.89972063742744;-4.01876952631632;0.250304076071846;1.63499296496073;-3.47926095869278;2.42922793019613;22.483247391493;-3.77148149739583;-1.24868804965548;-3.67678582743326;-2.99559525524563;-5.23173747746785;1.78054720559013;1.55495165003459;-2.43254688698662;-2.89679133143107;-2.1284119543118;-4.47584750986735;-1.52894861280653;-4.19543305725097;-2.09641909244114;-4.33965020355225;581.90071111111;-109.814533333334;188.516577777778;-45.0085333333333;0;0;3.73498813476573;-5.1523451985675;491.733377777777;-79.9552000000001;0;0;60.636844444444;-4.41933333333375;-1;-1;28.8823428596497;13.4294337017059;56.8229054031372;276.095868164062;40.2565991607666;16.6227641441345;23.6338350166321;28.0788446647644;25.8335408432007;32.333793057251;25.5640102035522;538.116400000001;174.1764;0;134.785011865234;407.4364;0;115.9236;1;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
"37";0.352788390199539;3.34283327144449;2.24870559525061;0.650394214670636;0.142868596485105;0.726427844721237;6.25023184500697;0.901571465104221;1.58830776547558;29.2980960654938;-2.42316653998102;1.49011611938477e-08;1.58830776547558;0.518158834161694;1.34543165097934;2466.5504350023;4.70384520266052e-05;3.77890389113734e-06;3175;0.345860566448802;0.00129131118899451;NA;6.21906459596784;21.5096469118168;0.987478938463651;0.964743005335652;0.269260805554379;1.24606148094792;0.507488454716876;0.936466710043476;1.44395516476035;0.4289782553266;0.458081692307764;"Binary_05";"05";15.2;-15.2;"Labyrinths";-1.71950095155503;-4.13272317377725;0.72460864088271;1.34138641866049;-3.27647998809812;0.34352001190188;33.4625018344451;19.4349462788894;-0.462573201497385;-2.62923986816406;-2.68135565016003;-4.45913342793781;2.21878244866265;1.82989355977375;-1.11910663731892;-3.27643997065225;-2.00249790488377;-4.21538679377254;-1.46787332789103;-3.85087332789104;-2.3585620659722;-4.43333984374998;407.041111111112;93.1966666666667;226.474444444445;46.1366666666665;0;0;15.4686542087131;0.593098653157199;372.728888888889;88.4933333333334;-0.186666666666585;-0.209999999999908;120.772222222223;125.940000000006;0;0.163333333333381;28.3530565071106;14.2889469146728;62.6864799880981;213.239387054444;39.0202398681641;16.2258000946045;22.7944397735596;28.6827733039856;28.3827201271057;30.6952066612244;25.31333984375;419.300000000001;138.19;0;145.930234680176;354.2;1;25.9100000000001;3;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
"36";0.377953370845253;3.17309115147475;2.12769068793419;0.486363480541704;0.11902180730147;0.568970394180088;5.3179274289707;0.86632674999227;1.53750193684797;12.8263835469006;-3.21504183078206;1.49011611938477e-08;1.53750193684797;0.364564059084753;1.3986188140383;2388.89169473508;5.61382388556054e-05;3.7746674517975e-06;2871;0.322366943633505;0.00107677773671746;NA;6.90805486096881;18.6177922725008;0.992182662371171;0.953742124035121;0.29101573565302;1.34400092112214;0.615740974767586;0.95627411296434;1.57201508773193;0.340533138196753;0.356104106113612;"Binary_06";"06";15.09;-15.04;"Labyrinths";-1.66370966162787;-4.1057718838501;0.764593645375573;1.37463364537557;-2.79853455420595;1.01804322357184;27.1237521691891;12.1314321691893;-0.501289890441903;-2.84523655710858;-2.69354888576931;-4.47177110799154;2.21061899532742;1.62653455088297;-1.05389601955838;-3.23470490844726;-2.53738608551025;-4.60989275217693;-1.59269634406197;-4.01385189961753;-2.25959270943536;-4.38690382054647;428.680622222223;88.2321333333334;233.729688888889;40.7599999999998;0;0;14.3236000657822;-0.687511045328961;387.592711111112;80.7642666666663;-0.303599999999869;-0.303599999999869;79.7545333333328;81.9769333333336;-0.303599999999869;0.363066666666797;28.3778918838501;14.2406996879578;61.7007567764282;221.461807830811;39.2629298904419;16.1824377746582;23.0804921157837;28.5848249084473;28.5875860855103;30.9587585662842;25.2975704872131;444.363600000001;143.68;0;144.839644378662;372.380000000001;0.303599999999869;29.3400000000001;2.30359999999987;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
"35";0.43677858995757;3.12817059871263;1.96877723184389;0.162587424441387;0.108094076665354;0.641800919370861;6.11950927358319;0.792697322222148;1.49123420702612;39.845612264893;-1.60007962811473;1.49011611938477e-08;1.49123420702612;0.437584290937599;1.44442859302752;2243.73353865246;8.63881704821143e-05;5.02724768243882e-06;1787;0.251619262179668;0.00427492036611414;NA;5.49697995014892;19.0644543425366;0.907582424886106;0.952027775119844;0.326856052952421;1.36835201113729;0.698849161215796;0.988479941790286;1.68732910300608;0.28963078057449;0.293006229392905;"Binary_07";"07";15.8;-14.36;"Gaps";-2.26840878236557;-4.75656433792113;0.593153030098804;1.10906414120992;-2.61794567532001;2.15516543579112;28.6859177856437;-2.37321554768977;-1.53287929501003;-4.19176818389892;-3.53335071606105;-5.06310627161659;2.01027142105099;0.871338087717675;-1.67653193935817;-3.9521541615804;-5.56545329954358;-7.3113644106547;-1.9801103866577;-4.61451038665772;-2.77573448545666;-4.68211226323444;371.45288888889;86.7713333333348;201.310444444445;39.7406666666671;0;0;16.2836944037543;3.45258329264337;342.253555555556;81.8693333333344;0;0;117.538666666667;117.744;-1;-1;29.2823643379211;14.0708691921234;57.8448345642089;285.144082214356;40.7475681838989;16.4222396049499;24.325328578949;30.2160208282471;29.028097743988;32.3403103866577;25.1745789299011;339.391999999999;117.998;0;147.372083374023;290.694;1;20.3000000000001;2;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
"34";0.474833598101711;3.01900436200398;1.84971795168394;0.00673528079780809;0.0962434933141146;0.616122044586324;5.82424079895623;0.826727854467792;1.60982509454635;50.7973732304534;-1.58591770339767;1.49011611938477e-08;1.60982509454635;0.202497409840258;1.46629180114603;2546.90957283546;6.53500685523963e-05;3.77043576182911e-06;3924;0.340388619014573;0.00306670395679052;NA;3.03538167266752;18.3052142612962;0.931644019094623;0.95933701237901;0.247091704680975;1.32355797343509;0.7820147941936;0.998180047811961;1.78019484200556;0.216165253618361;0.216559381338268;"Binary_08";"08";15.11;-14.53;"Gaps";-1.77310840989854;-4.24690396545408;0.549347394044688;1.07435628293357;-2.88605600026443;1.06727733306884;22.0488006058756;0.306880605875648;-0.947061548021104;-3.53903043690998;-2.97314513405695;-4.65092291183473;2.02608358603586;1.11189247492475;-1.17713165159435;-3.27174942937212;-2.6524248290846;-4.77268260686238;-1.76376674879285;-4.33863785990395;-2.3311584030999;-4.39172284754434;466.646088888891;91.1111999999999;244.14688888889;37.2969333333334;0;0;12.6247423543293;-1.45952431233727;415.352355555557;76.7845333333331;0.810800000000134;0.810800000000134;69.5891111111072;90.1317333333336;0.810800000000134;1.20720000000009;28.6298239654541;14.2329770503998;59.6727226669311;244.261306060791;40.1246171035766;16.2729229118347;23.8516941917419;28.7156960960388;29.023909273529;31.6152511932373;25.3403361808777;470.829200000002;156.329200000001;0;144.766190979004;393.140000000002;0;34.8292000000002;1;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
"33";0.466739729332985;3.55286939100838;2.02973905760812;0.134508841760659;0.169784000207464;0.761842681843179;7.73294657301849;0.685902893444169;1.49938253391953;44.9053417999788;-1.19643194891831;1.49011611938477e-08;1.49938253391953;0.50925547014144;1.30021653788343;2220.87076966705;0.000128084448225298;3.77043576182911e-06;1616;0.342082980524979;0.00510879998245201;NA;12.9136239487422;33.1927798668785;0.904858510758567;0.954482365497176;0.343376598917076;1.3070456007815;0.481085579031565;0.996833885703013;1.47791946473458;0.515748306671447;0.517386411184967;"Binary_16";"16";15.03;-0.87;"Spot–labyrinths";-1.44665085232203;-4.19600640787758;-2.14861349945069;-0.648613499450693;-6.28397893202045;-0.268823376464894;16.6975911119256;-14.4326666658526;-2.79040145287409;-5.4015125639852;-1.64323511354233;-4.06545733576455;-1.17680633933173;-1.33605522822064;-1.1491595353868;-2.87871509094235;-1.83657177697074;-4.59136288808183;-1.36102326941592;-4.65132549163815;-1.87734773491751;-4.27763217936195;491.139422222222;-55.8678666666671;215.2392;-23.2121333333334;0;0;13.0551857387966;-9.14379203898179;451.832133333333;-49.607866666667;0;0;31.9577333333335;29.0781333333335;0;0;29.5394597412109;15.4486134994507;58.2688233764649;319.808453332519;42.5198192306518;16.0071506690979;26.5126685615539;29.5267150909423;25.7986295547485;33.4832054916381;25.2733255126953;311.2272;106.94;0;142.693525372314;251.5836;0;48.7800000000002;0;" Tropical extreme desert";"Tropical & Subtropical Grasslands, Savannas & Shrublands"
